Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never"
35,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Sikh,38,,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Sikh,Urban,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Skilled and unskilled manual,Caste,Hindu,46,150.9,Secondary or below,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Higher Secondary,Agricultural,Caste,Hindu,20,145.7,Secondary or below,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Husband/partner alone,Husband/partner alone,
48,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Sikh,46,156.2,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,29,147.7,Higher Secondary,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Higher Secondary,Agricultural,Caste,Hindu,31,153.3,Higher Secondary,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Husband/partner alone,Respondent and husband/partner,
36,Higher Secondary,Services / household and domestic,Caste,Hindu,28,156.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Rural,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Agricultural,Caste,Hindu,42,146.8,Secondary or below,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Higher Secondary,Sales,Caste,Hindu,29,158.2,Higher Secondary,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Higher Secondary,Sales,Caste,Hindu,33,160.1,Higher Secondary,Not working,Caste,Hindu,Rural,Punjab,,,,,,,Respondent alone,Husband/partner alone,
49,Post-Graduate (MBA/MA),Sales,Caste,Hindu,44,162.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Sales,Caste,Hindu,49,153.4,Secondary or below,Not working,Caste,Hindu,Urban,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Skilled and unskilled manual,Caste,Hindu,49,141.4,Secondary or below,Not working,Caste,Hindu,Urban,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Secondary or below,Professional / technical / managerial,Caste,Hindu,26,150.8,Secondary or below,Not working,Caste,Hindu,Urban,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Secondary or below,Services / household and domestic,Caste,Hindu,38,153.4,Higher Secondary,Not working,Caste,Sikh,Urban,Punjab,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Other,Caste,Hindu,41,155.8,Secondary or below,Not working,Caste,Hindu,Urban,Punjab,,,,,,,Husband/partner alone,Respondent and husband/partner,
46,Higher Secondary,Professional / technical / managerial,Caste,Sikh,45,171.1,Higher Secondary,Not working,Caste,Sikh,Urban,Chandigarh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Sikh,48,153.2,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Chandigarh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38,151.2,Secondary or below,Not working,Caste,Hindu,Urban,Chandigarh,,,,,,,Respondent alone,Husband/partner alone,
55,Higher Secondary,Services / household and domestic,Caste,Hindu,43,158.2,Higher Secondary,Not working,Caste,Hindu,Urban,Chandigarh,,,,,,,Respondent and husband/partner,Husband/partner alone,
26,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,29,151.6,Secondary or below,Not working,Caste,Hindu,Urban,Chandigarh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29,153.1,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Hindu,Urban,Chandigarh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Sales,Caste,Hindu,46,154.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,20,155.5,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Higher Secondary,Not working,Caste,Hindu,25,157.2,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Hindu,45,160.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Agricultural,Caste,Hindu,27,150.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
33,Secondary or below,Agricultural,Caste,Hindu,29,151.7,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Secondary or below,Agricultural,Caste,Hindu,40,157.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Agricultural,Caste,Hindu,42,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Higher Secondary,Skilled and unskilled manual,Tribe,Hindu,21,148.4,Higher Secondary,Not working,Tribe,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Graduate (B.Tech/B.Sc/BA),Not working,Tribe,Hindu,24,156.3,Graduate (B.Tech/B.Sc/BA),Not working,Tribe,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Higher Secondary,Agricultural,Tribe,Hindu,47,159.2,Secondary or below,Not working,Tribe,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
24,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,21,154.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Someone else,
28,Post-Graduate (MBA/MA),Skilled and unskilled manual,Caste,Hindu,27,160.0,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Someone else,
41,Secondary or below,Other,Caste,Hindu,38,143.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent alone,Respondent and husband/partner,
36,Secondary or below,Other,Caste,Hindu,40,,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
22,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22,,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Services / household and domestic,Caste,Hindu,37,153.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Sales,Caste,Muslim,43,157.3,Higher Secondary,Not working,Caste,Muslim,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
47,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,45,152.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
43,Secondary or below,Skilled and unskilled manual,Caste,Hindu,42,155.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Agricultural,Caste,Hindu,47,149.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Agricultural,Caste,Hindu,38,150.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Agricultural,Caste,Hindu,49,156.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
32,Higher Secondary,Sales,Caste,Hindu,27,149.3,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,45,152.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Respondent and husband/partner,
33,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,25,156.9,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38,153.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22,152.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,40,154.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Agricultural,Caste,Hindu,46,153.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
45,Secondary or below,Agricultural,Caste,Hindu,41,155.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Husband/partner alone,
52,Secondary or below,Skilled and unskilled manual,Caste,Hindu,48,157.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Hindu,44,150.1,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
50,Graduate (B.Tech/B.Sc/BA),Other,Caste,Hindu,45,144.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent alone,Respondent and husband/partner,
35,Secondary or below,Agricultural,Caste,Hindu,30,158.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25,143.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,35,149.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
45,Higher Secondary,Services / household and domestic,Caste,Hindu,40,153.5,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Skilled and unskilled manual,Caste,Hindu,42,154.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Post-Graduate (MBA/MA),Sales,Caste,Hindu,39,163.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent alone,Respondent and husband/partner,
26,Secondary or below,Sales,Caste,Muslim,26,151.3,Secondary or below,Not working,Caste,Muslim,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Higher Secondary,Professional / technical / managerial,Caste,Hindu,40,162.2,Higher Secondary,Not working,Caste,Muslim,Urban,Uttarakhand,,,,,,,Respondent alone,Respondent alone,
50,Secondary or below,Skilled and unskilled manual,Caste,Hindu,39,156.3,Higher Secondary,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,24,153.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Post-Graduate (MBA/MA),Not working,Caste,Hindu,24,158.6,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
50,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,48,152.3,Secondary or below,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Higher Secondary,Not working,No caste / tribe,Hindu,46,154.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
44,Secondary or below,Services / household and domestic,Caste,Hindu,40,149.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
34,Higher Secondary,Other,Caste,Hindu,28,157.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent alone,Husband/partner alone,
24,Secondary or below,Agricultural,Caste,Hindu,24,,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Skilled and unskilled manual,Caste,Hindu,48,150.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Skilled and unskilled manual,Caste,Hindu,49,154.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Agricultural,Caste,Hindu,43,156.1,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Post-Graduate (MBA/MA),Skilled and unskilled manual,Caste,Hindu,28,155.3,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,24,158.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,45,144.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25,154.5,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,28,168.4,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent alone,Respondent and husband/partner,
41,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,31,147.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Someone else,
25,Higher Secondary,Not working,Caste,Hindu,22,151.5,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Other,
50,Higher Secondary,Agricultural,Caste,Hindu,39,141.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Higher Secondary,Services / household and domestic,Caste,Hindu,25,157.6,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
39,Secondary or below,Professional / technical / managerial,Caste,Hindu,39,147.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent alone,Someone else,
30,Secondary or below,Skilled and unskilled manual,Caste,Hindu,23,145.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,20,154.5,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Higher Secondary,Sales,Caste,Hindu,23,156.1,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Higher Secondary,Sales,Caste,Hindu,27,156.2,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Other,Someone else,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24,152.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Skilled and unskilled manual,Caste,Hindu,44,149.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
39,Higher Secondary,Agricultural,Caste,Hindu,34,162.7,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
51,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,45,152.1,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,43,151.2,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Agricultural,Caste,Hindu,45,150.6,Higher Secondary,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45,140.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Skilled and unskilled manual,Caste,Hindu,49,157.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Skilled and unskilled manual,Caste,Hindu,44,149.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,37,156.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Post-Graduate (MBA/MA),Skilled and unskilled manual,Caste,Hindu,23,148.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,31,141.0,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,32,153.3,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Agricultural,Caste,Hindu,48,156.8,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40,154.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,20,155.9,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,Rural,Uttarakhand,,,,,,,Someone else,Someone else,
46,Higher Secondary,Sales,Caste,Hindu,36,154.1,Higher Secondary,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,32,147.4,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Husband/partner alone,Respondent and husband/partner,
52,Higher Secondary,Sales,Caste,Hindu,49,148.4,Secondary or below,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Higher Secondary,Agricultural,Caste,Sikh,29,161.9,Post-Graduate (MBA/MA),Not working,Caste,Sikh,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Higher Secondary,Clerical,Caste,Sikh,25,166.2,Post-Graduate (MBA/MA),Not working,Caste,Sikh,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,24,147.0,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Husband/partner alone,
45,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,25,154.0,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
31,Higher Secondary,Professional / technical / managerial,Caste,Hindu,27,146.1,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Hindu,39,150.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
55,Secondary or below,Agricultural,Caste,Hindu,39,153.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
44,Secondary or below,Services / household and domestic,Caste,Muslim,42,153.1,Secondary or below,Not working,Caste,Muslim,Urban,Uttarakhand,,,,,,,Husband/partner alone,Husband/partner alone,
50,Secondary or below,Skilled and unskilled manual,Caste,Hindu,43,145.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Husband/partner alone,Respondent and husband/partner,
50,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,49,154.5,Higher Secondary,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Post-Graduate (MBA/MA),Other,Caste,Hindu,33,152.6,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
34,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Hindu,27,150.2,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent alone,Respondent and husband/partner,
33,Higher Secondary,Professional / technical / managerial,Caste,Hindu,26,170.4,Secondary or below,Not working,Don't know,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent alone,
39,Post-Graduate (MBA/MA),Skilled and unskilled manual,Caste,Hindu,27,142.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,23,150.8,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Skilled and unskilled manual,Caste,Hindu,23,146.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
51,Secondary or below,Skilled and unskilled manual,Caste,Hindu,47,154.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
23,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22,153.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Not working,Caste,Hindu,47,163.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Secondary or below,Agricultural,Caste,Hindu,46,148.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Agricultural,Caste,Sikh,45,,Secondary or below,Other,Caste,Sikh,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
22,Higher Secondary,Professional / technical / managerial,Caste,Muslim,21,151.6,Secondary or below,Not working,Caste,Muslim,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Husband/partner alone,
33,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,39,155.1,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25,156.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Someone else,Someone else,
51,Secondary or below,Not working,Caste,Hindu,45,152.4,Secondary or below,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Higher Secondary,Clerical,Caste,Hindu,39,163.2,Higher Secondary,Not working,Caste,Hindu,Urban,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Agricultural,Caste,Hindu,33,167.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Husband/partner alone,
30,Higher Secondary,Professional / technical / managerial,Caste,Hindu,26,144.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
18,Secondary or below,Professional / technical / managerial,Caste,Hindu,18,157.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Agricultural,Caste,Hindu,41,156.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
